Date,Open,High,Low,Close
5/7/2021,18.45,18.57,16.68,16.69
5/6/2021,18.41,20.6,18.21,18.39
5/5/2021,18.84,19.58,17.89,19.15
5/4/2021,18.16,21.85,18.11,19.48
5/3/2021,18.65,19.12,17.8,18.31
4/30/2021,17.67,19.25,17.64,18.61
4/29/2021,16.88,18.87,16.77,17.61
4/28/2021,17.47,17.84,16.67,17.28
4/27/2021,17.62,18.16,16.97,17.56
4/26/2021,17.94,18.17,16.87,17.64
4/23/2021,18.56,18.78,16.8,17.33
4/22/2021,17.28,19.9,16.99,18.71
4/21/2021,18.48,19.29,16.91,17.5
4/20/2021,17.36,19.7,17.24,18.68
4/19/2021,17.04,18.61,16.78,17.29
4/16/2021,16.65,16.88,16.05,16.25
4/15/2021,16.78,16.92,15.94,16.57
4/14/2021,16.71,17.69,15.38,16.99
4/13/2021,16.99,17.86,16.43,16.65
4/12/2021,17.43,17.91,16.81,16.91
4/9/2021,17.05,17.34,16.2,16.69
4/8/2021,16.92,17.36,16.55,16.95
4/7/2021,17.99,18.17,16.87,17.16
4/6/2021,18.07,18.3,17.37,18.12
4/5/2021,18.16,18.4,17.35,17.91
4/1/2021,18.6,18.64,17.29,17.33
3/31/2021,19.8,20.11,18.85,19.4
3/30/2021,20.76,21.75,19.47,19.61
3/29/2021,20.4,21.6,19.42,20.74
3/26/2021,19.32,21.49,18.68,18.86
3/25/2021,20.8,23.55,19.81,19.81
3/24/2021,20.64,21.49,19.3,21.2
3/23/2021,19.46,21.58,18.8,20.3
3/22/2021,21.91,22.29,18.87,18.88
3/19/2021,21.43,23.17,19.9,20.95
3/18/2021,18.95,22.6,18.95,21.58
3/17/2021,20.1,20.95,19.18,19.23
3/16/2021,20.14,20.31,19.33,19.79
3/15/2021,21.84,21.86,19.87,20.03
3/12/2021,22.57,22.99,20.63,20.69
3/11/2021,22.5,22.5,21.45,21.91
3/10/2021,23.76,23.87,22.38,22.56
3/9/2021,25.11,25.25,22.9,24.03
3/8/2021,27.61,28.39,24.07,25.47
3/5/2021,29.48,30.03,24.33,24.66
3/4/2021,26.52,31.9,24.93,28.57
3/3/2021,22.8,26.79,22.45,26.67
3/2/2021,23.58,24.6,22.8,24.1
3/1/2021,25.2,25.39,23.17,23.35
2/26/2021,28.73,30.82,25.23,27.95
2/25/2021,21.73,31.16,21.52,28.89
2/24/2021,23.76,25.04,21.31,21.34
2/23/2021,22.82,27.01,22.5,23.11
2/22/2021,24.46,25.09,21.96,23.45
2/19/2021,23.1,23.19,20.84,22.05
2/18/2021,21.98,24.23,21.8,22.49
2/17/2021,22.02,23.44,21.09,21.5
2/16/2021,21.13,22.46,20.88,21.46
2/12/2021,21.6,22.45,19.95,19.97
2/11/2021,22.09,23.25,21.11,21.25
2/10/2021,21.64,23.85,19.69,21.99
2/9/2021,21.57,22.26,20.65,21.63
2/8/2021,21.89,22.07,21.23,21.24
2/5/2021,21.99,22.16,20.86,20.87
2/4/2021,23.44,23.44,21.68,21.77
2/3/2021,24.59,25.43,22.91,22.91
2/2/2021,28.01,28.08,25.31,25.56
2/1/2021,31.45,33.96,29.03,30.24
1/29/2021,35.16,37.51,29.24,33.09
1/28/2021,33.25,36.29,27.39,30.21
1/27/2021,23.82,37.21,23.71,37.21
1/26/2021,23.91,23.94,22.55,23.02
1/25/2021,22.31,26.63,22.2,23.19
1/22/2021,22.24,23.73,21.27,21.91
1/21/2021,21.34,22.22,21.09,21.32
1/20/2021,22.82,22.86,21.37,21.58
1/19/2021,23.03,23.56,22.53,23.24
1/18/2021,23.52,25.8,23.08,24.34
1/15/2021,23.52,25.8,23.08,24.34
1/14/2021,22.22,23.47,21.66,23.25
1/13/2021,23.07,24.18,21.92,22.21
1/12/2021,23.49,25.15,22.83,23.33
1/11/2021,23.31,24.81,23.23,24.08
1/8/2021,22.43,23.34,21.42,21.56
1/7/2021,23.67,23.91,22.25,22.37
1/6/2021,25.48,26.77,22.14,25.07
1/5/2021,26.94,28.6,24.8,25.34
1/4/2021,23.04,29.19,22.56,26.97
12/31/2020,22.99,23.25,21.24,22.75
12/30/2020,22.58,23.15,22.41,22.77
12/29/2020,21.61,23.72,20.99,23.08
12/28/2020,22.11,22.12,21.15,21.7
12/24/2020,22.47,22.83,21.39,21.53
12/23/2020,23.49,23.68,22.13,23.31
12/22/2020,25.24,25.56,23.53,24.23
12/21/2020,24.25,31.46,24.23,25.16
12/18/2020,22.15,23.77,21.57,21.57
12/17/2020,21.98,22.27,21.52,21.93
12/16/2020,22.51,23.67,22.29,22.5
12/15/2020,24,24.07,22.73,22.89
12/14/2020,22.67,24.82,21.95,24.72
12/11/2020,22.49,25.14,22.48,23.31
12/10/2020,22.12,23.46,21.53,22.52
12/9/2020,20.66,22.93,20.1,22.27
12/8/2020,21.65,22.25,20.52,20.68
12/7/2020,22.04,22.62,21.17,21.3
12/4/2020,21.05,21.15,19.97,20.79
12/3/2020,21.24,21.88,20.72,21.28
12/2/2020,21,21.25,20.04,21.17
12/1/2020,20.21,20.92,20,20.77
11/30/2020,22.64,22.89,20.48,20.57
11/27/2020,21.52,21.6,19.51,20.84
11/26/2020,21.65,22.5,21.13,21.25
11/25/2020,21.65,22.5,21.13,21.25
11/24/2020,22.04,22.48,20.8,21.64
11/23/2020,23.66,23.96,22.45,22.66
11/20/2020,23.43,23.73,22.13,23.7
11/19/2020,23.62,24.52,22.56,23.11
11/18/2020,22.86,23.92,21.66,23.84
11/17/2020,22.84,24.09,22.34,22.71
11/16/2020,23.66,24.08,22.43,22.45
11/13/2020,24.94,25.03,22.74,23.1
11/12/2020,24.39,27.27,23.53,25.35
11/11/2020,25.01,25.12,22.57,23.45
11/10/2020,25.36,26.77,24.35,24.8
11/9/2020,24.8,25.82,22.41,25.75
11/6/2020,27.87,29.44,24.56,24.86
11/5/2020,27.56,28.14,26.04,27.58
11/4/2020,36.79,36.85,28.03,29.57
11/3/2020,36.44,36.44,34.19,35.55
11/2/2020,38.57,38.78,36.13,37.13
10/30/2020,40.81,41.09,36.5,38.02
10/29/2020,38.8,41.16,35.63,37.59
10/28/2020,34.69,40.77,34.68,40.28
10/27/2020,32.04,33.77,31.85,33.35
10/26/2020,29.38,33.68,29.22,32.46
10/23/2020,28.47,28.67,27.26,27.55
10/22/2020,30.1,30.12,27.68,28.11
10/21/2020,29.12,30.55,28.37,28.65
10/20/2020,28.81,29.6,28.29,29.35
10/19/2020,27.36,29.69,27.04,29.18
10/16/2020,27.16,27.46,26.19,27.41
10/15/2020,27.1,29.06,26.82,26.97
10/14/2020,25.72,27.23,25.53,26.4
10/13/2020,25.67,26.93,25.16,26.07
10/12/2020,25.65,25.65,24.14,25.07
10/9/2020,26.2,26.22,24.03,25
10/8/2020,27.65,27.99,24.88,26.36
10/7/2020,29.26,29.76,27.94,28.06
10/6/2020,28.05,30,26.01,29.48
10/5/2020,29.52,29.69,27.27,27.96
10/2/2020,28.87,29.9,26.93,27.63
10/1/2020,25.78,27.11,25.33,26.7
9/30/2020,26.69,27.12,25.06,26.37
9/29/2020,26.81,27.43,25.98,26.27
9/28/2020,27.15,27.19,24.9,26.19
9/25/2020,28.17,30.43,26.02,26.38
9/24/2020,29.54,30.49,27.94,28.51
9/23/2020,27.02,29.73,25.19,28.58
9/22/2020,28.61,28.78,26.48,26.86
9/21/2020,28.04,31.18,27.39,27.78
9/18/2020,26.65,28.1,25.28,25.83
9/17/2020,28.22,28.92,26.26,26.46
9/16/2020,25.31,26.59,24.84,26.04
9/15/2020,25.92,26,24.92,25.59
9/14/2020,25.86,26.79,25.38,25.85
9/11/2020,28.63,29.73,26.51,26.87
9/10/2020,28.67,30.56,27.59,29.71
9/9/2020,31.68,31.78,28.12,28.81
9/8/2020,30.61,35.93,30.52,31.46
9/4/2020,34.62,38.28,29.5,30.75
9/3/2020,26.28,35.94,25.66,33.6
9/2/2020,26.01,27.07,25.53,26.57
9/1/2020,25.86,26.59,25.02,26.12
8/31/2020,23.91,26.5,21.77,26.41
8/28/2020,24.59,26.3,22.64,22.96
8/27/2020,23.42,27.09,21.44,24.47
8/26/2020,22.14,23.27,20.92,23.27
8/25/2020,22.16,23.43,21.53,22.03
8/24/2020,22.87,23.18,21.25,22.37
8/21/2020,22.58,24.47,22.06,22.54
8/20/2020,24.1,24.6,22.37,22.72
8/19/2020,21.6,22.98,20.99,22.54
8/18/2020,21.69,22.55,21.18,21.51
8/17/2020,22.52,22.82,21.34,21.35
8/14/2020,22.27,23.55,21.79,22.05
8/13/2020,22.2,22.92,21.45,22.13
8/12/2020,22.82,22.88,21.54,22.28
8/11/2020,21.85,24.93,20.28,24.03
8/10/2020,22.88,23.52,21.46,22.13
8/7/2020,23.45,24.02,22.02,22.21
8/6/2020,23.03,24.11,20.97,22.65
8/5/2020,23.44,23.61,22.86,22.99
8/4/2020,24.01,24.76,22.92,23.76
8/3/2020,25.75,26.01,22.17,24.28
7/31/2020,24.79,26.41,23.55,24.46
7/30/2020,25.04,28.29,24.64,24.76
7/29/2020,25.16,25.42,23.73,24.1
7/28/2020,24.86,25.85,24.05,25.44
7/27/2020,26.6,26.94,24.55,24.74
7/24/2020,27.96,28.58,25.53,25.84
7/23/2020,23.97,26.95,23.6,26.08
7/22/2020,24.56,26.26,24.13,24.32
7/21/2020,24.08,25.65,23.61,24.84
7/20/2020,26.94,27.08,24.35,24.46
7/17/2020,27.15,27.54,25.41,25.68
7/16/2020,28.41,29.29,26.98,28
7/15/2020,29.15,30.09,27.17,27.76
7/14/2020,31.14,33.67,29.21,29.52
7/13/2020,27.85,32.45,26.87,32.19
7/10/2020,30.86,30.91,27.13,27.29
7/9/2020,28.18,31.48,26.11,29.26
7/8/2020,28.95,30.2,27.24,28.08
7/7/2020,28.77,29.63,27.25,29.43
7/6/2020,27.76,28.33,24.92,27.94
7/3/2020,28.33,28.44,25.9,27.68
7/2/2020,28.33,28.44,25.9,27.68
7/1/2020,30.96,31.76,28.2,28.62
6/30/2020,32.54,32.94,29.56,30.43
6/29/2020,35.05,36.31,31.78,31.78
6/26/2020,33.01,36.25,31.04,34.73
6/25/2020,36.59,36.93,31.59,32.22
6/24/2020,31.05,37.12,30.95,33.84
6/23/2020,31.71,31.71,29.26,31.37
6/22/2020,35.22,35.39,31.64,31.77
6/19/2020,32.07,35.12,30.4,35.12
6/18/2020,33.83,36.25,32.24,32.94
6/17/2020,33.28,35.17,32.25,33.47
6/16/2020,34.28,37.45,31.73,33.67
6/15/2020,44.09,44.44,34.28,34.4
6/12/2020,37.68,44.16,34.97,36.09
6/11/2020,30.45,42.58,29.49,40.79
6/10/2020,26.73,29.01,26.06,27.57
6/9/2020,25.93,27.7,25.71,27.57
6/8/2020,25.56,25.98,24.65,25.81
6/5/2020,24.79,25.09,23.54,24.52
6/4/2020,26.23,26.43,24.38,25.81
6/3/2020,26.75,26.98,25.04,25.66
6/2/2020,28.4,28.52,26.66,26.84
6/1/2020,28.94,30.6,28.11,28.23
5/29/2020,29.3,30.16,27.29,27.51
5/28/2020,27.82,29.89,27.43,28.59
5/27/2020,27.62,30.53,25.92,27.62
5/26/2020,27.72,28.58,27.18,28.01
5/25/2020,31.36,31.55,28.03,28.16
5/22/2020,31.36,31.55,28.03,28.16
5/21/2020,28.97,30.2,27.67,29.53
5/20/2020,29.52,29.83,27.83,27.99
5/19/2020,28.73,30.74,28.37,30.53
5/18/2020,30.71,31.08,28.35,29.3
5/15/2020,32.5,35.13,31.04,31.89
5/14/2020,35.16,39.28,32.33,32.61
5/13/2020,32.74,37.42,30.77,35.28
5/12/2020,28.47,33.04,26,33.04
5/11/2020,28.46,31.46,26.97,27.57
5/8/2020,30.14,30.39,27.89,27.98
5/7/2020,32.12,32.28,30.37,31.44
5/6/2020,32.69,35.69,31.68,34.12
5/5/2020,34.82,36.22,31.95,33.61
5/4/2020,39.13,40.32,35.53,35.97
5/1/2020,38.17,39.57,36.59,37.19
4/30/2020,30.99,35.94,30.93,34.15
4/29/2020,32.48,33.19,30.71,31.23
4/28/2020,33.21,35.39,30.54,33.57
4/27/2020,36.29,36.44,32.51,33.29
4/24/2020,41.91,42.08,35.6,35.93
4/23/2020,41.3,42.47,39.06,41.38
4/22/2020,44.91,45.07,41.41,41.98
4/21/2020,44.28,47.77,43.77,45.41
4/20/2020,40.68,43.83,39.88,43.83
4/17/2020,39.5,40.26,37.63,38.15
4/16/2020,41.92,43.02,39.87,40.11
4/15/2020,39.4,43.23,39.34,40.84
4/14/2020,40.24,40.57,37.31,37.76
4/13/2020,44.6,45.04,41.17,41.17
4/9/2020,43,45.73,41.39,41.67
4/8/2020,45.9,47.28,42.53,43.35
4/7/2020,44.83,47.51,43.51,46.7
4/6/2020,44.17,45.73,43.45,45.24
4/3/2020,51.11,52.29,46.74,46.8
4/2/2020,54.46,57.24,50.45,50.91
4/1/2020,57.38,60.59,52.76,57.06
3/31/2020,56.69,58.75,50.88,53.54
3/30/2020,66.3,67.69,56.6,57.08
3/27/2020,64.95,69.1,61.8,65.54
3/26/2020,65.67,67.06,57.66,61
3/25/2020,61.44,68.86,58.03,63.95
3/24/2020,58.76,61.88,36.24,61.67
3/23/2020,74.08,76.74,60.46,61.59
3/20/2020,67.86,69.51,57.42,66.04
3/19/2020,80.62,84.26,68.57,72
3/18/2020,69.37,85.47,69.37,76.45
3/17/2020,82.69,84.83,70.37,75.91
3/16/2020,57.83,83.56,57.83,82.69
3/13/2020,71.31,77.57,55.17,57.83
3/12/2020,61.46,76.83,59.91,75.47
3/11/2020,52.24,55.82,49.98,53.9
3/10/2020,49.68,55.66,43.56,47.3
3/9/2020,41.94,62.12,41.94,54.46
3/6/2020,41.46,54.39,40.84,41.94
3/5/2020,33.61,42.84,33.54,39.62
3/4/2020,34.44,35.58,30.3,31.99
3/3/2020,33.64,41.06,24.93,36.82
3/2/2020,34.86,43.77,31.5,33.42
2/28/2020,42.02,49.48,39.37,40.11
2/27/2020,28.95,39.31,27.79,39.16
2/26/2020,26.63,29.57,24.76,27.56
2/25/2020,22.19,30.25,22.19,27.85
2/24/2020,22.25,26.35,22,25.03
2/21/2020,17.33,18.21,16.19,17.08
2/20/2020,14.54,17.21,14.49,15.56
2/19/2020,14.66,14.74,14.21,14.38
2/18/2020,14.98,15.49,14.53,14.83
2/14/2020,14.12,14.54,13.38,13.68
2/13/2020,14.43,15.44,14,14.15
2/12/2020,14.86,14.88,13.73,13.74
2/11/2020,14.91,15.27,14.38,15.18
2/10/2020,15.88,16.43,15.01,15.04
2/7/2020,15.07,16.16,14.81,15.47
2/6/2020,15.13,15.66,14.7,14.96
2/5/2020,16.29,16.32,15.02,15.15
2/4/2020,16.45,16.46,15.63,16.05
2/3/2020,18.64,18.88,17.1,17.97
1/31/2020,16.25,19.99,16.18,18.84
1/30/2020,17.82,18.39,15.3,15.49
1/29/2020,15.68,16.65,14.94,16.39
1/28/2020,16.94,18.03,15.69,16.28
1/27/2020,17.42,19.02,16.82,18.23
1/24/2020,12.75,15.98,12.62,14.56
1/23/2020,13.26,14.15,12.94,12.98
1/22/2020,12.45,13.01,12.31,12.91
1/21/2020,13.23,13.33,12.32,12.85
1/20/2020,12.21,12.48,11.75,12.1
1/17/2020,12.21,12.48,11.75,12.1
1/16/2020,12.2,12.42,11.78,12.32
1/15/2020,12.79,12.83,11.95,12.42
1/14/2020,12.72,13.82,12.05,12.39
1/13/2020,12.84,13.09,12.32,12.32
1/10/2020,12.42,12.87,12.09,12.56
1/9/2020,12.95,13.24,12.53,12.54
1/8/2020,15.16,15.24,12.83,13.45
1/7/2020,13.84,14.46,13.39,13.79
1/6/2020,15.45,16.39,13.54,13.85
1/3/2020,15.01,16.2,13.13,14.02
1/2/2020,13.46,13.72,12.42,12.47
